question,answer
hey any guys with cams wanna play ?,. ACTION sits on U68 's lap .
"Just fine thanks , how are you ?",that sounds freakishly like dr seuss
who is he U6 ?,i hate it when my devotion to christianity is questioned .
"your fiance , do you know his handle ?",On what kinda pervs your lookin for
girl jerks ??,. ACTION gives U68 a nice massage .
if your fiance is still here could i talk to him ?,. ACTION counter pokes .
someone wanna find me a cheap flight to spain ?,i need to go this summer .
ok seriously who was the dumbass that signed kev fetterline a rap deal ????,it 's an emergency .
Ug .. no shit ?,il get u a cheap flight to hell :)
any texas girls in here ?,anyone can be bought if theres enuff money U83 :)
any guys have webcams ?,. ACTION re-thinks liking U121 .
yes U92 ???,sits with U30
"yo U115 , may i om y ?",. ACTION lix .
what r u searching for ?,he is not me !
is he your fiance ??,i 'm going to bed now . i want to have hot sexy dreams about U68
U121 how near kc ?,just cheaking
wat did u do U6 ?,woohoo paypal
hey U165 how 's u ?,. ACTION has left the room with U83 .
what stuff U11 ?,they can be vindictive
seriously U2 ? lol,you read too many horror scopes
U11 sup girl ?,me too ... always seem to pick the right stocks for everyone else but me .... lol
do n't take your own advice ? lol,do n't be your own client
U9 ... what 's your preference ?,< always 4.20 at my house
"hell no , u ?","sex , drugs and rock n roll"
oh no U19 are you from texas ?,any kids U9 ....
"nada again U17 , u ?",< cali guy here
really U17 ??? geeze,I meant nothing by my comments
What 's happening ?,why 'd U19 leave ?
Anyone PM in this room ?,how are ya ll
and what happened to her U17 ?,can I ask where ya all are from ..... im here in kentucky
is who sexy ?,cause we only accept none sexy people ... except for U9
I have to leave ?,shut up U17 ... everyone is sexy
have n't seen me at six in the morning have you ?,just kidding
U35 ... is that italian ?,lol U31 ... A ++
who 's horny ?,Is U17 writing a book ?
Is U17 writing a book ?,whjat is not a word U17 ... lol
and you live where now U37 ?,HAHA cute nic there 1 smallfry
who 's in prison ?,not me i put them in the jail lol
U31 ... you 're handing out pictures ?,been cuffed b4 though LOL
"So is U25 girl gonna help me redraft my pro-se petition ? I know , she despises ex prisoners ?","Ok I 'm gonna put it up ONE MORE TIME U37 , and this is it"
care to me U17 ?,you inviting ?
U25 u an attorney ?,U37 did you see the pic ?
U37 did you see the pic ?,do n't be sorry
i did ?? hows that,oh for crying out loud
PRIVMSG U1 how are u ?,U31 .... I think you 're taking us for a ride
think I amy have offended him ? I 'm such a schlep sometimes .....,"no , everyone in the other room can see it"
You called me Amy ?,O.k. I see it .
". Question :. A teacher that you had "" the hots "" for flirts outrageously with you at your class reunion. If single , would you hook up with them ? Yes or No ?",i meant to write the word may .....
the teacher would probably be 80 would n't she ?,&^ Yes i would U12
where you going U25 ?,awww see ya U25 have a good one
U28 ... did you and U9 hook up and are now having a party of your own ?,I like bedford street .
you like them rough ?,U3 whaaaaats up in ohio ?
U3 whaaaaats up in ohio ?,Like whip and crop tough ?
Like whip and crop tough ?,now now U31 ... we barely know each other .... lol
U20 ... high beams ?,ouch .. U20
bored ? man the day is slipping away do something,"guess he crashed , lol"
how many U27 is there today ? lol,u evil twin left U27
"oh , what 'd he do ?",kool ... with a K ?
